"title","url","stars","name","reviewUrl","text"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Ridha Asep","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t4cFJWbHRlbE0wWkRKV2NrMTVWWFl4UVhKVlJFRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOkxpRVltelM0ZDJWck15VXYxQXJVREE%7C%7C?hl=en-US","Tolong securitinya di arahkan dan di beritahu lagi saya ini pengunjung,saya bertanya posisi berhenti bertanya malahan dia nyelonong di atas motornya sambil menjawab seolah olah yg dia ajak bicara itu teman akrabnya,dan dia menjawab dengan posisi motor kencang dan teriak dengan tidak sopan"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Arwini Puspita","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21WUVIxRm1RbXBRVm00NU5YcEZjMDEwVG5oeVdtYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOmVQR1FmQmpQVm45NXpFc010TnhyWmc%7C%7C?hl=en-US","proses pengurusan mudah dan mendapatkan pelayanan sesuai dari nakes yang ramah dan bertanggung jawab atas tugas yang dijalankan."
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Aditya Isnan Daffa","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCUlpsaDNTVGN5YVVGdVQxbE1WVXhrYTFGVk9GRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOjBRZlh3STcyaUFuT1lMVUxka1FVOFE%7C%7C?hl=en-US","Fasilitas lengkap dannpenangannan cukup cepat..."
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","3","Khairunnisa P","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KTVZWZGtiWEY0VVMxNmFYaERjVXgzVVRWSVoyYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOmJMVVdkbXF4US16aXhDcUx3UTVIZ2c%7C%7C?hl=en-US","Perawat sama cleaning servis yang bekerja di PHCU disana sangat kasar. Teman saya lagi hamil malah di pukul sama mereka, sangat tidak profesional. Cara perawatan mereka salah, mereka terlalu keras terhadap pasien jiwa. Semoga kedepannya bisa diperbaiki lagi.<br><br>Salam hangat dari pasien dr. Erwiani Sutono, Sp.KJ"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","kjeghs","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tkSWMwNTFOMFExWkVaTlpqY3hSV1U0VG01VVNYYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOkdIc051N0Q1ZEZNZjcxRWU4Tm5USXc%7C%7C?hl=en-US",""
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","Muhajir","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21OM2VIVTRObDlHTldKNVNEZGtTVlF0WkUxRGIzYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOmN3eHU4Nl9GNWJ5SDdkSVQtZE1Db3c%7C%7C?hl=en-US","Pelayanannya semakin memuaskan , alhamdulillah"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","AbLy Rockwell","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGNE5WUkRiVUZuVGxoTmJHTmliM042VkZvNU9HYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOkF4NVRDbUFnTlhNbGNib3N6VFo5OGc%7C%7C?hl=en-US","IGD Fisiknya Pelayanan SUPERB MANTAP!!!Keren Perawat & Dokternya Ramah Ramah & Professional"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","AbLy Apple808","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WeU5tTm1jVXBITmxZek0xUTJaRGswYURWdGVtYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOnVyNmNmcUpHNlYzM1Q2ZDk0aDVtemc%7C%7C?hl=en-US","PERAWAT IGD FISIK TERBAIT "
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","5","AbLy FantaZhi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25acFdtVlZWRFIwYkVndFRXdEtlWFZEV2s5bWMyYxAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOnZpWmVVVDR0bEgtTWtKeXVDWk9mc2c%7C%7C?hl=en-US","IGD FISIK RS DADI LUAR BIASA SUPERB PELAYANANNYA & BERSIH"
"Rumah Sakit Khusus Daerah (RSKD) Dadi Provinsi Sulawesi Selatan","https://www.google.com/maps/search/?api=1&query=Rumah%20Sakit%20Khusus%20Daerah%20(RSKD)%20Dadi%20Provinsi%20Sulawesi%20Selatan&query_place_id=ChIJxdSBP6bivi0RuqXIkQrVswM","1","Aryah Alam Ramadhan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWdGNIbFZWRkZoV0RkVFYyeEdWVzUzTmt4dlJFRRAB!2m1!1s0x0:0x3b3d50a91c8a5ba!3m1!1s2@1:CAIQACodChtycF9oOkVtcHlVVFFhWDdTV2xGVW53NkxvREE%7C%7C?hl=en-US","SANGAT BURUK !!! SAYA DATANG DI POLI GIGI JAM 9 PAGI DI LAYANI JAM 2 SIANG. DOKTER KURANG ONTIME & DOKTER SELALU RESCHEDULE JADWAL / BERHALANGAN DLL"
